robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
260.0,10.0,135.0,-180.0,0.0,-0.0,-7.17,3.94,-183.92,0.523,0.851,-0.007,0.048,0.122
260.0,10.0,145.0,-180.0,-0.0,-0.0,-16.87,3.69,-183.84,0.523,0.851,-0.007,0.049,0.129
260.0,10.0,155.0,-180.0,-0.0,-0.0,-26.58,3.45,-184.1,0.523,0.851,-0.007,0.05,0.138
260.0,10.0,165.0,-180.0,0.0,-0.0,-36.18,3.55,-184.31,0.521,0.852,-0.006,0.05,0.143
260.0,10.0,175.0,-180.0,0.0,-0.0,-46.12,3.09,-184.55,0.52,0.852,-0.006,0.051,0.139
260.0,20.0,75.0,-180.0,0.0,-0.0,51.27,14.17,-183.62,0.523,0.851,-0.01,0.044,0.1
260.0,20.0,85.0,-180.0,-0.0,-0.0,41.62,14.21,-184.0,0.523,0.851,-0.009,0.044,0.102
260.0,20.0,95.0,-180.0,0.0,-0.0,31.84,14.02,-183.88,0.524,0.851,-0.009,0.045,0.103
260.0,20.0,105.0,-180.0,0.0,-0.0,22.1,13.86,-184.05,0.524,0.85,-0.008,0.046,0.104
260.0,20.0,115.0,-180.0,-0.0,-0.0,12.29,13.82,-183.88,0.524,0.85,-0.008,0.047,0.109
260.0,20.0,125.0,-180.0,0.0,-0.0,2.52,13.66,-184.1,0.525,0.85,-0.008,0.047,0.115
260.0,20.0,135.0,-180.0,-0.0,-0.0,-7.07,13.5,-184.29,0.525,0.85,-0.007,0.048,0.122
260.0,20.0,145.0,-180.0,0.0,-0.0,-16.79,13.33,-184.24,0.525,0.849,-0.007,0.049,0.129
260.0,20.0,155.0,-180.0,0.0,-0.0,-26.48,13.42,-184.53,0.526,0.849,-0.005,0.049,0.137
260.0,20.0,165.0,-180.0,-0.0,-0.0,-36.13,13.03,-184.72,0.527,0.848,-0.006,0.051,0.132
260.0,20.0,175.0,-180.0,-0.0,-0.0,-45.97,13.21,-185.08,0.527,0.848,-0.005,0.051,0.123
260.0,30.0,75.0,-180.0,-0.0,-0.0,51.34,23.94,-183.97,0.523,0.851,-0.009,0.044,0.103
